"Game","Count","PopularityCategory"
"pokemon-seventh-generation",36,"Not so popular"
"street-fighter-iv",35,"Not so popular"
"rift",35,"Not so popular"
"glitch",35,"Not so popular"
"fifa-13",35,"Not so popular"
"godus",35,"Not so popular"
"subnautica",35,"Not so popular"
"super-mario-maker",35,"Not so popular"
"mount-and-blade",34,"Not so popular"
"warcraft-3",34,"Not so popular"
"age-of-empires-iii",34,"Not so popular"
"mame",34,"Not so popular"
"final-fantasy-12",34,"Not so popular"
"tf2-engineer",34,"Not so popular"
"harvest-moon-3d-a-new-beginning",34,"Not so popular"
"fiz",34,"Not so popular"
"halo-5-guardians",34,"Not so popular"
"fallout",33,"Not so popular"
"games-for-windows-live",33,"Not so popular"
"wiimote",33,"Not so popular"
"sims-2",33,"Not so popular"
"dwarf-fortress-adventure",33,"Not so popular"
"la-noire",33,"Not so popular"
"tf2-pyro",33,"Not so popular"
"infinity-blade-2",33,"Not so popular"
"assassins-creed-series",33,"Not so popular"
"windows-8.1",33,"Not so popular"
"rockstar-games-social-club",33,"Not so popular"
"speedrun",33,"Not so popular"
"agar.io",33,"Not so popular"
"super-mario-run",33,"Not so popular"
"resident-evil-7",33,"Not so popular"
"facebook",32,"Not so popular"
"sega-genesis",32,"Not so popular"
"words-with-friends",32,"Not so popular"
"mtg-duels-of-the-planeswalkers",32,"Not so popular"
"shogun-2-total-war",32,"Not so popular"
"lego-harry-potter-years-5-7",32,"Not so popular"
"kid-icarus-uprising",32,"Not so popular"
"neverwinter",32,"Not so popular"
"hyrule-warriors",32,"Not so popular"
"hacker-experience",32,"Not so popular"
"amiibo",32,"Not so popular"
"dont-starve-together",32,"Not so popular"
"fortnite-save-the-world",32,"Not so popular"
"rock-band",31,"Not so popular"
"guitar-hero",31,"Not so popular"
"game-boy",31,"Not so popular"
"x3-terran-conflict",31,"Not so popular"
"hitman-absolution",31,"Not so popular"
"dead-space-3",31,"Not so popular"
"xenonauts",31,"Not so popular"
"darkest-dungeon",31,"Not so popular"
"killing-floor-2",31,"Not so popular"
"pewdiepie-tuber-simulator",31,"Not so popular"
"epic-games-launcher",31,"Not so popular"
"cave-story",30,"Not so popular"
"rome-total-war",30,"Not so popular"
"recettear-an-item-shops-tale",30,"Not so popular"
"doom",30,"Not so popular"
"zelda-links-awakening",30,"Not so popular"
"tribes-ascend",30,"Not so popular"
"pocket-planes",30,"Not so popular"
"shadowrun-returns",30,"Not so popular"
"minecraft-optifine",30,"Not so popular"
"splatoon",30,"Not so popular"
"monster-hunter-generations",30,"Not so popular"
"game-music-identification",30,"Not so popular"
"minecraft-bedrock-edition-realms",30,"Not so popular"
